TestCaseID,Step,Action,Target,Data,Confidence
TC_01,1,open,login page,https://mcheck.elixruat.awsdns.internal.das/network-adequacy, high
TC_01,2,enter,Username input text field,AM30115,high
TC_01,3,click,Next,,high
TC_01,4,enter,Password input text field,HiLabs@123456,high
TC_01,5,click,verify button,,high
TC_01,6,validate,Network Adequacy,,low
TC_02,1,click,Network Adequacy,,high
TC_02,2,validate,Network Group,,high
TC_02,3,click,column menu icon,Network group,high
TC_02,4,click,filter,,high
TC_02,5,enter,filter input text field,LOUISIANA_MEDICAID_NETWORK,high
TC_02,6,click,apply,,high
TC_02,7,click,column menu icon,Filing Type,high
TC_02,8,click,filter,,high
TC_02,9,enter,filter input text field,GBD_FFM,high
TC_02,10,click,apply,,high
TC_02,11,validate,Filing Type Column,GBD_FFM,high
TC_02,12,click,action icon,,high
